abr,location
"(VS)", "United States of America"
"(N)", "Netherlands"
"(Zwits.)", "Switzerland"
"(Rusland)", "Russia"
"(China)", "China"
"(GB)", "United Kingdom"
"(D)", "Germany"
"(Hongaria)", "Hungary"
"(VS?)", "United States of America"
"(Skand.)", "Scandinavia"
"(GB/Austr.)", "United Kingdom/Austria"
"(N/VS)", "Netherlands/United States of America"
"(Zwits.?)", "Switzerland"
"GB?", "United Kingdom"
"(Skand.?)", "Scandinavia"
"Finland", "Finland"
"Canada", "Canada"
"Swedia", "Sweden"
"Belgia", "Belgium"
"Jpg", "Japan"
"(C.Y. Lam, China)", "China"
"(Hong.)", "Hungary"
"D?", "Germany"
"(D? Zwits.?)", "Germany/Switzerland"
"NL"." "Netherlands"
"(geb. in Zuid-India)", "South India"
"(Kroatia)", "Croatia"
"Australië", "Australia"
"(Norwegia/VS)", "Norway/United States of America"
"(Austr.)", "Austria"




