nama orang,geb/overl.,id
"Aa, zr. W. van der (N) ",1908-1942/5,0
"Aalbers, dr. Joh. Godefr., arts (N)",1910-1992,1
"Aalders, zr. Jacoba (N)",1910-1999,2
"Abeel, David (VS)",1804-1846,3
"Abkoude, ds. F.N.M. van (N)",1895-1988,4
"Ackermann, Gustav, zdl. (D)",1876-1955,5
"Adriaanse, A.J., zie Gemerts-Adriaanse, A.J.",,6
"Adriaanse, ds. L. (N)",1856-1947,7
"Adriani, dr. Nicolaus (N)",1865-1926,8
"Aebersold, W.E., zdl (Zwits.)",1903-1996,9
"Agter, H.J., zdl (N)",1892-1957,10
"Akersloot, J., zdl. (N)",1790/1-1830,11
"Akerson, Rev. Leroy Lind (VS)",1892-1921,12
"Akkeren, dr. Philippus v, zdl (N)",1910-1993,13
"Albers, C., zdl (N)",1837-1920,14
"Albrecht, zr. Magdalene (D)",1895-1968,15
"Alewijn, jhr. Anton Godfried (N)",1877-1954,16
"Alfs, Anna (D)",1877-1967,17
"Alkema, B.M., zdl (N)",1868-1942,18
"Alkema, Menno Theod. (N)",1894-1963,19
"Allaart Bernard, arts (N)",1908-1999,20
"Allaart, ds. Dirk J. Bergardus (N)",1898-1945,21
"Allstrom, Rev. Eric W. (VS)",,22
"Alm, Rev. Ragnar (Skand.)",1900-1964+,23
"Alphen, J.J. van",1848/9,24
"Alphen, Pauline El. van (N)",1885-1945,25
"Alt, Gustav Adolf (D)",1856-1921,26
"Alt, Marg. Adriana (N)",1883-1962,27
"Ameler, August (D)",1877-1940,28
"Amstutz, Daniel, zdl. (Zwits.)",1906-1991,29
"Andel, zr. Corn. Cath. Herm. (N)",1913-1997,30
"Andel, dr. H.A. van (N)",1875-1945,31
"Anders, Emilie (D)",1868-1922,32
"Anderson, E.G.O. (GB)",,33
"Anken, zr. Roelfke van (N)",1906-2001,34
"Anskohl, Martin (D)",1883-1945,35
"Antheunisse, A., ond. (N)",1896-1990,36
"Archer, Rev. Raymond LeRoy (VS)",1887-1970,37
"Arff-Schumacher, Elli (D)",1865-1914,38
"Arkel, zr. G. van, diakones (N)",1903-1984,39
later G. Kiewiet-van Arkel,,40
"Arms, William, zdl (VS)",1802-1889,41
"Arps, B.J., zdl (N)",1898-1962,42
"As, A. van, zdl (N)",1886-1920,43
"Asselt, Gerrit van, zdl (N)",1832-1910,44
"Augusteijn, zr. Jolina (N)",1905-2000,45
"Baan, zr. Maria (N)",1896-1994,46
"Baan, M.J.G., zie Voorst-Baan",,47
"Baarbé, Cornelia, ond., evangel. (N)",1894-1981,48
"Baarbé, zr. Hendrika (N)",1896-,49
"Baarda, M.J. van, zdl (N)",1854-1940,50
" Baars, Dingeman Joh., zdl (N)",1907-2000,51
"Baier, Georg (D)",1894-1987,52
"Bakker, Dirk, (N)",1865-1932,53
"Bakker, Dirk, arts (N)",1898-1973,54
"Bakker, F.L. (N)",1893-1971,55
"Bakker, G.F.C., zdl (N)",1897-1954,56
"Bakker, P., ond. (N)",,57
"Balen, J.A. van, zdl. (N)",1854-1941,58
"Baljon, J.M.S., zendeling (N)",1891-1978,59
"Baltin, zr. A. (N)",  -1942/45,60
"Bansemer, C.L., zdl. (D)",1885-1953,61
