nama orang,geb/overl.,organ.,werkgebied en -soort,werkperiode,bijzonderheden,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,id
"Aa, zr. W. van der (N) ",1908-1942/5,GZB,"Rantepao (Sulsel), verpleegster",1932-1933,"~ 1933 F.R.O. Steller, contr. BB, z.v. hp E.T.K. Steller",,,,† in Japanse internering?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Aalbers, dr. Joh. Godefr., arts (N)",1910-1992,NZG,Deli,1937-1946,1942-45 Japanse internering,~ 1935 Akke Reidinga † 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Aalders, zr. Jacoba (N)",1910-1999,SZ,"Bojonegoro, verpleegster in Zzh",1939-1942/6,> dir. Centraal Zh in Hollan­dia (Dake 64) > Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Abeel, David (VS)",1804-1846,ABCFM,"Batavia, bij Medhurst",1831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Abkoude, ds. F.N.M. van (N)",1895-1988,mandiri,"pred. gem. Temanggung, MJava",1925-1942,EndSumba 839,~ 1918 Regina Horstman † 1988,,ZGKN-S,"> pred. GKN, miss. pred. Sumba",1948-1954,R.M.: d.v. zdl. R. Horstman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
"Ackermann, Gustav, zdl. (D)",1876-1955,RMG,"Nias, zdl.",1905-1908,nam ontslag bij de RMG,~ Emma Reinmuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
"Adriaanse, A.J., zie Gemerts-Adriaanse, A.J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
"Adriaanse, ds. L. (N)",1856-1947,ZGKN-MJ,pred. GKN in NL,1888-1894,Auteur Sadrach's Kring,~ 1888 J.M. de Buisonjé † 1940,,,"Purworejo, miss. pred.",1895-1902,Rds MJ 856; Woerdt 256v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
"Adriani, dr. Nicolaus (N)",1865-1926,NBG,"MCelebes, taalkundige, bijbel­-",1894-1926,Swellengrebel II 28-67,~ 1894 Maria Lambertha Gunning † 1939,,,vertaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
"Aebersold, W.E., zdl (Zwits.)",1903-1996,STC,"Sangihe (Sangir), miss. pred.",1931-1949,"verlof Mei 1939, kon niet terug",~ M.E. Hufschmied † 1982,,,,,door uitbreken WOII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
"Agter, H.J., zdl (N)",1892-1957,UZV,"Kwawi, Bosnik (Biak)",1920-1922,Zie MbladSZC 1919-8,~ 1920 H.C. Dijkman † 1945,,,Bosnik (Biak),1922-1924,IM Zblad NHK 1957-10; verlof ,,,,"Korido (Supiori, Papua)",1924-1951,1927-8 en 1935-6,,,,,,,,,,,,,,,,,,,,,,,,,10
"Akersloot, J., zdl. (N)",1790/1-1830,NZG,"Kaibobo (Ceram, Mal.)",1822-1824,Kruyf 127,~ [n.a.],,,"Malakka, wnd pred.",1824-1825,,,,,"Depok, hp",1925-1830,,,,,,,,,,,,,,,,,,,,,,,,,,11
"Akerson, Rev. Leroy Lind (VS)",1892-1921,EpMeth,Bangka en MJava,1916-1921,"† Probolinggo, MJava, verdronk toen hij een kind wilde redden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
"Akkeren, dr. Philippus v, zdl (N)",1910-1993,NZG,"OJava, miss. pred.",1934-1952, auteur van Sri and Christ,~ ± 1933 A. Ristjouw † 1990,,,"Surabaya, studentenpred.",1952-1954,,,,,"Malang, docent Bale Wiyata",1954-1962,,,,,,,,,,,,,,,,,,,,,,,,,,13
"Albers, C., zdl (N)",1837-1920,NZV,"Cianjur, WJava",1863-1886,LAW XXVI-3. Verlof,~ 1864 Chr.C. vd Linden † 1907,,,,1886-1907,"Verlof in NL 1874-76, 1895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
"Albrecht, zr. Magdalene (D)",1895-1968,RMG,"NSumatra, Missionsschwester",1926-1940,10-5-1940 geïntern. door Ned.­; 1942-46 in Shang­­hai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
"Alewijn, jhr. Anton Godfried (N)",1877-1954,NZV,"Cideres (WJava), verpleger > zh ",1920,1906-1913 in Cikini-zh. ,~1907 M.M. Ver­hoe­ven †1961,,,KPM in Ba­ta­via,,MMV: d.v. J. Verhoeven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
"Alfs, Anna (D)",1877-1967,RMG,"NSumatra, Missionsschwester",1911-1919,> werkt voor RMG in Dld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
"Alkema, B.M., zdl (N)",1868-1942,NZV,Bandung/Cianjur,1893-1903,EndWJava 779,~ 1893 Jetske Ringma † 1948,,,Bogor,1905-1909,1903-05 ziekteverlof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
"Alkema, Menno Theod. (N)",1894-1963,ZGKN-MJ,admin. Zending in Purworejo,1936-1937,ZJB 1937. > admin. plantage. ,~ (1) 1920 Joh. Maria van Leeuwen,,,,,z.v. B.M. Al­kema,~ (2) Clem. Sophie Barkley,,,,,"GZbl 1936, 201",,,,,,,,,,,,,,,,,,,,,,,,,19
"Allaart Bernard, arts (N)",1908-1999,ZGKN-MJ,"Klaten, miss. arts in Zzh",1936-1942,1942-45 krijgsgevangene ,~ 1948 J.M. Schouten (1900-1992),,,"Purbolinggo, miss. arts",1949-1959,de Jong MJ 771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
"Allaart, ds. Dirk J. Bergardus (N)",1898-1945,ZGKN-MJ,"Yogyakarta, miss. pred.",1931-1943,† in kamp (zie de Jong MJ 771),~ 1926 Gerritje Alida [sic] Scheurer (1896-1992),,,,,GAS: d.v. dr. J.G. Scheurer,,,,,,"GZbl 1931, 244",,,,,,,,,,,,,,,,,,,,,,,,,21
"Allstrom, Rev. Eric W. (VS)",,EpMeth,"Banyumas, MJava",1916-1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
"Alm, Rev. Ragnar (Skand.)",1900-1964+,EpMeth,"Asahan, Sumatra, Jap. intern.",1931-1964,"R. Alm, Pandita Ragnar Alm,",~ 1934 L. Oelschlaeger,,,terug naar Medan,1948,Medan 1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
"Alphen, J.J. van",1848/9,NGZV,"Sumba, zdl.",1881-1893,> hp. zie EndSumba 833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
"Alphen, Pauline El. van (N)",1885-1945,SZ,"Purwodadi, verpleegster Zzh",1907-1912,"d.v. J.J. van Alphen. ~ 1912 met PJJRT Pilon, arts. † 1945 in Japanse internering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
"Alt, Gustav Adolf (D)",1856-1921,RMG,"Zuid-Kalimantan, zdl.",1888-1912,,~ 1890 Helena Schmidt † 1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
"Alt, Marg. Adriana (N)",1883-1962,ZDB,verpleegster in Lawang,1906-1910,"Laan, passim",,,ZDB/Pent.,"Pangungsen, Gam­bang Waluh, Srb, Kediri, evangeliste",1910-1936,"1922 uit ZDB naar Pinksterbe­weging. Richtte ""De Pinkster- ",,,Pent.,"Lawang, leid. Pinksterzending",1936-1943,"zending"" op (1935)",,,,Jap. en Republ. internering,1943-1946,,,,,"Surabaya, evangeliste",1946-1951,,,,,Manokwari,1951-1961,"1961, NL",,,,,,,27
